air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,period_end,period
16,0.14,107,0,0,0,0,24.9,12.5,0,0,0,0,15.5,0.3,78.7,684.2,0,0,0,0,113,115,2,1.1,111,2024-02-01T01:00:00Z,PT60M
15,0.14,108,0,0,0,0,43.5,12.4,0,0,0,0,15.4,0.6,82.8,684.8,0,0,0,0,122,124,2,1.1,125,2024-02-01T02:00:00Z,PT60M
15,0.14,112,0,0,0,0,49.2,12.7,0,0,0,0,15.1,0.3,88.4,685,0,0,0,0,127,123,1.8,1,139,2024-02-01T03:00:00Z,PT60M
14,0.14,120,0,0,0,0,41.3,12.8,0,0,0,0,14.6,0.1,92.2,684.8,0,0,0,0,128,121,1.8,1.1,152,2024-02-01T04:00:00Z,PT60M
14,0.14,145,0,0,0,0,18.1,12.8,0,0,0,0,14.2,0,92.2,684.7,0,0,0,0,121,117,1.9,1.2,164,2024-02-01T05:00:00Z,PT60M
14,0.15,-160,0,0,0,0,77.4,12.6,0,0,0,0,13.7,0,93.4,684.5,0,0,0,0,114,111,2,1.3,166,2024-02-01T06:00:00Z,PT60M
13,0.15,-125,0,0,0,0,78.7,12.6,0,0,0,0,13.1,0,94.9,684.1,0,0,0,0,111,108,1.9,1.1,156,2024-02-01T07:00:00Z,PT60M
13,0.15,-113,0,0,0,0,46.7,12.5,0,0,0,0,12.5,0,96.5,683.7,0,0,0,0,109,108,2,1.2,143,2024-02-01T08:00:00Z,PT60M
13,0.15,-109,0,0,0,0,38.5,12.3,0,0,0,0,11.9,0,97.4,683.4,0,0,0,0,109,107,2.2,1.4,129,2024-02-01T09:00:00Z,PT60M
12,0.15,-107,0,0,0,0,32.5,11.9,0,0,0,0,11.6,0,98.7,683.3,0,0,0,0,115,106,1.9,1.3,115,2024-02-01T10:00:00Z,PT60M
12,0.15,-107,0,0,0,0,50.7,11.9,0,0,0,0,11.6,0,99.7,683.6,0,0,0,0,116,108,1.9,1.3,101,2024-02-01T11:00:00Z,PT60M
12,0.15,-108,26,156,46,68,65.7,11.9,15,0,15,14,11.8,0,99.7,684.1,0,0,0,0,113,108,2.3,1.6,87,2024-02-01T12:00:00Z,PT60M
12,0.15,-110,85,607,273,348,28.1,11.6,106,300,216,250,12.4,0,97.7,684.7,0,0,0,0,112,107,2.2,1.6,72,2024-02-01T13:00:00Z,PT60M
13,0.15,-114,112,807,535,623,1.5,11.6,127,767,525,610,13.1,0,88.9,685.1,0,0,0,0,113,111,2,1.3,59,2024-02-01T14:00:00Z,PT60M
15,0.15,-121,129,896,759,848,21.8,11.5,344,361,588,622,13.9,0,77.9,685.3,0,0,0,0,120,125,1.5,1,45,2024-02-01T15:00:00Z,PT60M
17,0.15,-133,148,927,922,1007,40.2,11.2,510,49,551,540,14.5,0.1,69.8,685.2,0,0,0,0,133,142,1.2,0.8,33,2024-02-01T16:00:00Z,PT60M
18,0.15,-157,168,926,1010,1092,25.6,11.2,491,286,752,769,14.8,0.1,65.1,684.7,0,0,0,0,137,140,1.2,0.9,25,2024-02-01T17:00:00Z,PT60M
19,0.15,168,180,912,1018,1099,17.6,11.4,402,474,840,879,15.1,0.2,62.1,684.1,0,0,0,0,142,145,1.2,0.9,23,2024-02-01T18:00:00Z,PT60M
19,0.15,139,181,885,947,1028,53.3,11.5,444,0,444,429,15.5,0.1,61,683.3,0,0,0,0,156,161,1.2,0.9,30,2024-02-01T19:00:00Z,PT60M
20,0.15,124,171,837,800,882,38.3,12,449,58,491,484,15.8,0.1,61.7,682.5,0,0,0,0,165,171,1.1,0.9,41,2024-02-01T20:00:00Z,PT60M
20,0.15,116,149,756,592,673,46.1,12.1,320,0,320,309,16,0.1,60.2,682.1,0,0,0,0,180,185,0.9,0.7,54,2024-02-01T21:00:00Z,PT60M
20,0.15,111,117,573,337,406,53.2,11.8,159,0,159,154,16.4,0.1,61.1,682.1,0,0,0,0,200,202,0.9,0.7,68,2024-02-01T22:00:00Z,PT60M
18,0.15,108,54,213,93,121,39.1,12.2,51,0,51,49,16.4,0,68.5,682.4,0,0,0,0,192,197,0.9,0.6,82,2024-02-01T23:00:00Z,PT60M
17,0.15,107,0,0,0,0,52.9,12.8,0,0,0,0,16.7,0.3,75.6,683.1,0,0,0,0,146,150,0.7,0.4,96,2024-02-02T00:00:00Z,PT60M
16,0.15,107,0,0,0,0,94,12.8,0,0,0,0,17,0.5,81.6,683.9,0,0,0,0,122,117,0.9,0.7,111,2024-02-02T01:00:00Z,PT60M
15,0.15,108,0,0,0,0,94.2,12.7,0,0,0,0,16.9,0.4,86.7,684.5,0,0,0,0,120,118,1.4,1,125,2024-02-02T02:00:00Z,PT60M
14,0.15,111,0,0,0,0,92.2,12.5,0,0,0,0,16.9,0.1,88.4,684.9,0,0,0,0,117,115,1.6,1.1,139,2024-02-02T03:00:00Z,PT60M
14,0.15,120,0,0,0,0,94.9,12.5,0,0,0,0,16.5,0.1,89.2,684.9,0,0,0,0,113,111,1.4,1,153,2024-02-02T04:00:00Z,PT60M
14,0.15,145,0,0,0,0,94.7,12.8,0,0,0,0,16,0.1,91,684.7,0,0,0,0,113,118,1.1,0.9,164,2024-02-02T05:00:00Z,PT60M
14,0.15,-160,0,0,0,0,94.8,12.9,0,0,0,0,15.7,0,91.9,684.4,0,0,0,0,116,123,1.3,0.8,166,2024-02-02T06:00:00Z,PT60M
14,0.15,-125,0,0,0,0,87.7,12.8,0,0,0,0,15.3,0,92.5,683.9,0,0,0,0,121,125,1.6,0.9,157,2024-02-02T07:00:00Z,PT60M
14,0.15,-113,0,0,0,0,56.6,12.8,0,0,0,0,15,0,94,683.4,0,0,0,0,123,122,1.4,0.8,143,2024-02-02T08:00:00Z,PT60M
13,0.15,-109,0,0,0,0,72.8,12.6,0,0,0,0,14.8,0,95.8,683.1,0,0,0,0,122,118,1.2,0.9,129,2024-02-02T09:00:00Z,PT60M
