air_temp,albedo,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dewpoint_temp,dhi,dni,ghi,gti,precipitable_water,precipitation_rate,relative_humidity,surface_pressure,snow_depth,snow_water_equivalent,snow_soiling_rooftop,snow_soiling_ground,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m,zenith,period_end,period
16,0.14,107,0,0,0,0,12.9,14,0,0,0,0,16,0.5,87.7,685.8,0,0,0,0,98,98,1.9,1.1,111,2024-02-01T01:00:00Z,PT60M
15,0.14,108,0,0,0,0,12.7,13.8,0,0,0,0,16,1.1,91.1,686.4,0,0,0,0,107,105,1.7,1.1,125,2024-02-01T02:00:00Z,PT60M
15,0.14,112,0,0,0,0,13.7,13.9,0,0,0,0,15.7,0.5,94.7,686.6,0,0,0,0,115,107,1.7,1,139,2024-02-01T03:00:00Z,PT60M
14,0.14,120,0,0,0,0,14.2,13.8,0,0,0,0,15.2,0.1,96.2,686.5,0,0,0,0,116,104,1.6,1,152,2024-02-01T04:00:00Z,PT60M
14,0.14,145,0,0,0,0,26.2,13.8,0,0,0,0,14.8,0,96.2,686.3,0,0,0,0,111,103,1.7,1.1,163,2024-02-01T05:00:00Z,PT60M
14,0.14,-161,0,0,0,0,53.8,13.6,0,0,0,0,14.3,0,96.8,686.1,0,0,0,0,106,101,1.7,1.1,166,2024-02-01T06:00:00Z,PT60M
14,0.14,-126,0,0,0,0,79.7,13.5,0,0,0,0,13.8,0,97.1,685.7,0,0,0,0,104,99,1.6,1,156,2024-02-01T07:00:00Z,PT60M
14,0.14,-114,0,0,0,0,62.8,13.3,0,0,0,0,13.2,0,97.7,685.3,0,0,0,0,103,98,1.7,1.1,143,2024-02-01T08:00:00Z,PT60M
13,0.14,-109,0,0,0,0,46.4,13,0,0,0,0,12.8,0,98.1,685,0,0,0,0,104,102,2,1.2,129,2024-02-01T09:00:00Z,PT60M
13,0.14,-107,0,0,0,0,37.3,12.6,0,0,0,0,12.6,0,99,684.9,0,0,0,0,109,103,1.7,1.1,115,2024-02-01T10:00:00Z,PT60M
13,0.14,-107,0,0,0,0,64,12.6,0,0,0,0,12.7,0,99.7,685.2,0,0,0,0,113,104,1.7,1.2,101,2024-02-01T11:00:00Z,PT60M
13,0.14,-108,27,124,43,60,73.3,12.5,14,0,14,13,13.1,0,99.7,685.8,0,0,0,0,117,107,2,1.4,87,2024-02-01T12:00:00Z,PT60M
12,0.14,-110,94,539,262,329,22.8,12.2,110,303,220,255,13.7,0,98.7,686.2,0,0,0,0,114,103,2,1.3,72,2024-02-01T13:00:00Z,PT60M
13,0.14,-114,129,752,523,605,0,12.1,129,752,523,605,14.3,0,91.9,686.6,0,0,0,0,112,107,1.8,1,59,2024-02-01T14:00:00Z,PT60M
15,0.14,-121,148,853,748,833,8.1,12.3,242,636,686,751,14.9,0,83.1,686.8,0,0,0,0,119,124,1.1,0.7,45,2024-02-01T15:00:00Z,PT60M
16,0.14,-133,167,892,912,994,17.8,12.1,394,427,749,787,15.3,0.1,76.9,686.7,0,0,0,0,125,142,0.6,0.3,33,2024-02-01T16:00:00Z,PT60M
17,0.14,-157,182,902,1003,1082,48.1,12.1,516,4,519,502,15.5,0.1,72.2,686.3,0,0,0,0,119,131,0.6,0.3,24,2024-02-01T17:00:00Z,PT60M
18,0.14,168,190,895,1013,1091,32.9,12.4,560,130,679,676,15.7,0.3,69.8,685.7,0,0,0,0,130,144,0.6,0.3,23,2024-02-01T18:00:00Z,PT60M
18,0.14,139,190,868,942,1021,13.4,13,370,515,817,863,16,0.1,71,684.9,0,0,0,0,169,187,0.6,0.4,30,2024-02-01T19:00:00Z,PT60M
19,0.14,124,179,819,796,876,21.5,13.6,404,295,624,649,16.3,0.2,72.9,684.2,0,0,0,0,203,213,0.7,0.6,41,2024-02-01T20:00:00Z,PT60M
19,0.14,116,157,733,587,666,19.7,14,307,285,466,494,16.6,0.2,71.9,683.7,0,0,0,0,238,239,0.7,0.6,54,2024-02-01T21:00:00Z,PT60M
19,0.14,111,122,552,334,400,13.8,13.4,173,293,291,325,17,0.1,70.6,683.8,0,0,0,0,257,253,0.7,0.5,68,2024-02-01T22:00:00Z,PT60M
18,0.14,108,55,203,93,120,38,13.3,55,0,55,53,17.1,0.1,75.2,684.1,0,0,0,0,224,232,0.4,0.3,82,2024-02-01T23:00:00Z,PT60M
17,0.14,107,0,0,0,0,43.7,13.8,0,0,0,0,17.2,0.4,83.3,684.7,0,0,0,0,115,102,0.5,0.3,96,2024-02-02T00:00:00Z,PT60M
16,0.14,107,0,0,0,0,87.4,13.8,0,0,0,0,17.4,0.9,88.8,685.5,0,0,0,0,92,88,1,0.8,110,2024-02-02T01:00:00Z,PT60M
15,0.14,108,0,0,0,0,95.1,13.6,0,0,0,0,17.3,0.5,92.2,686,0,0,0,0,103,101,1.3,1,125,2024-02-02T02:00:00Z,PT60M
14,0.14,111,0,0,0,0,94.8,13.4,0,0,0,0,17.3,0.3,94,686.5,0,0,0,0,105,99,1.3,1,139,2024-02-02T03:00:00Z,PT60M
14,0.14,120,0,0,0,0,93.1,13.4,0,0,0,0,16.9,0.1,94.3,686.5,0,0,0,0,100,96,1.2,0.9,152,2024-02-02T04:00:00Z,PT60M
14,0.14,145,0,0,0,0,90.8,13.5,0,0,0,0,16.5,0.1,94.9,686.3,0,0,0,0,97,102,0.9,0.7,164,2024-02-02T05:00:00Z,PT60M
14,0.14,-161,0,0,0,0,91.3,13.6,0,0,0,0,16.1,0,94.9,686,0,0,0,0,99,107,0.9,0.7,166,2024-02-02T06:00:00Z,PT60M
14,0.14,-125,0,0,0,0,69,13.5,0,0,0,0,15.6,0,95.3,685.5,0,0,0,0,112,113,1.2,0.8,157,2024-02-02T07:00:00Z,PT60M
14,0.14,-113,0,0,0,0,53.3,13.4,0,0,0,0,15.4,0,96.2,684.9,0,0,0,0,119,115,1.1,0.7,143,2024-02-02T08:00:00Z,PT60M
14,0.14,-109,0,0,0,0,69.7,13.2,0,0,0,0,15.2,0,97.1,684.7,0,0,0,0,120,116,1,0.7,129,2024-02-02T09:00:00Z,PT60M
13,0.14,-107,0,0,0,0,93.7,12.8,0,0,0,0,15.6,0,99,684.4,0,0,0,0,120,98,1.2,0.9,115,2024-02-02T10:00:00Z,PT60M
12,0.14,-107,0,0,0,0,95.1,12.4,0,0,0,0,16.1,0,100,684.5,0,0,0,0,105,83,1.6,1.2,101,2024-02-02T11:00:00Z,PT60M
